DC_Real_Property_ID,Address_of_Record,Owner_of_Record,Ward,Year,Property_Name,Address_1,Postal_Code,Primary_Property_Type,Year_Built,_Reported_Building_Gross_Floor_Area_ft_,Site_EUI_kBtu/ft,Weather_Normalized_Source_EUI_kBtu/ft,ENERGY_STAR_Score,Total_GHG_Emissions_MtCO2e,Electricity_Use_-_Grid_Purchase_and_Onsite_kWh,Natural_Gas_Use_therms
18051068,2801 NEW MEXICO AVE,THE COLONNADE CONDOMINIUM,3,2011,The Colonnade Condominium,"2801 N Mexico Ave, NW",20007,Multifamily Housing,1964,"425,000",0,,0,0,,
18230009,4000 WISCONSIN AV NW,JAN K EVANS KING TRUSTEE,3,2011,4000 Wisconsin Avenue,"4000 Wisconsin Avenue, NW",20016,Office,1987,"481,193",146.4,489,45,9975.49,20645991.9,
18690825,5415 CONNECTICUT AV NW,WRIT KENMORE LLC,3,2011,The Kenmore,"5415 Connecticut Ave, NW",200152765,Multifamily Housing,1948,"264,366",96.9,180.1,0,2168.37,2668846.6,165200.3
19290014,3700 MASSACHUSETTS AV NW,SMITH PROPERTY HOLDINGS ALBAN TOWERS LLC,3,2011,Alban Towers,3700 Massachusetts Av NW,20016,Multifamily Housing,1934,"345,169",59.2,120.3,0,1879.7,2627882.2,114658.7
19773012,4600 CONNECTICUT AVE NW,4600 CONNECTICUT AVE CONDO,3,2011,4600 Connecticut Avenue Condominium,4600 Connecticut Avenue NW,20008,Multifamily Housing,1957,"299,840",21.7,66.6,0,921.2,1905300,117.2
19810012,4817 - 4831 36TH ST NW,DAVENPORT HOUSE ASSOCIATES LTP,3,2011,Archstone Connecticut Heights,4850 Connecticut Av NW,20008,Multifamily Housing,1974,"250,128",0,,0,0,,
20350004,4849 CONNECTICUT AV NW,"TMG ELLICOTT, LP",3,2011,Ellicott House,4849 Connecticut Ave NW,20008,Multifamily Housing,1972,"206,304",139.6,261.9,0,2333.56,2658240.4,197215.3
20390001,4545 CONNECTICUT AV NW,BRANDYWINE APARTMENTS OF MARYLAND LLC,3,2011,The Brandywine Apartments,"4545 Connecticut Ave, NW",20008,Multifamily Housing,1954,"347,040",69.1,130.6,0,2056.54,2589764.5,151362.6
20390804,4501 CONNECTICUT AV NW,SMITH PROPERTY HOLDINGS FIVE LP,3,2011,4501 Connecticut Avenue,4501 Connecticut Avenue,20008,Multifamily Housing,1900,"273,393",67.2,122.9,0,1532.1,1836629,121184
20490804,3101 VEAZEY TR NW,V N N C INC,3,2011,V.N.N.C.Inc.,"3001 Veazey Terrace, NW",20008,Multifamily Housing,1966,"698,441",64.5,125,0,2694.8,3964421,185002.002
20490806,3003 VAN NESS ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,2011,Van Ness,3003 Van Ness St NW,20008,Multifamily Housing,1970,"912,615",47.2,92.6,0,3829.47,5095375.1,257056.7
20490810,2900 VAN NESS ST NW,HOWARD UNIVERSITY,3,2011,Law School,2900 Van Ness Street,20008,College/University,1964,"289,942",79.2,254.7,22,3251.98,6730524.6,
20491080,2939 VAN NESS ST NW,VAN NESS EAST CONDOMINIUM,3,2011,Van Ness East Condominium,"2939 Van Ness Street, NW",20008,Multifamily Housing,1965,"391,000",63.4,116.4,0,2182.73,2862711.2,150292.1
21320026,2401 CALVERT ST NW,CALVERT HOUSE ASSOCIATES LLC,3,2011,The Calvert House,2401 Calvert Ave.,20008,Multifamily Housing,1964,"240,528",71.4,135.6,0,1476.43,1864185.3,108217.7
21320029,2800 WOODLEY RD NW,ALONZO O BLISS PROPERTY,3,2011,2800 Woodley Rd 2010,2800 Woodley Rd NW,20008,Multifamily Housing,1942,"240,516",67.7,120.8,0,1377.48,1693140,105152
21320827,2725 29TH ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,2011,Cleveland House,2727 29th st NW,20008,Multifamily Housing,1953,"315,129",52.8,102.7,0,1395.02,1690036.1,108730.5
21320850,2600 Woodly Road,Marriot Wardman Park,3,2011,337w0-Washington DC Marriott Wardm,2660 Woodley Rd Nw,20008,Hotel,1978,"1,600,000",107.1,222.8,23,16149.61,23313740,918259
21380812,2500 CALVERT ST NW,OMNI SHOREHAM CORPORATION,3,2011,Omni Shoreham Hotel,2500 Calvert St NW,20008,Hotel,1930,"953,000",94.6,213.9,44,9249.18,14753900,398429
22050839,2601 WOODLEY PL NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,2011,Calvert Woodley,2601 Woodley PL NW,20008,Multifamily Housing,1954,"206,688",56.3,104.1,0,986.94,1217946.2,74899.6
22250842,2501 PORTER ST NW,SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC,3,2011,2501 Porter,2501 Porter St NW,20008,Multifamily Housing,1988,"309,058",26.7,60,0,794.77,1182008.6,42041.3
22250844,2800 QUEBEC ST NW,AMERICAN SECURITY & TRUST COMPANY,3,2011,Quebec House South,"2800 Quebec Street, NW",20008,Multifamily Housing,1949,"353,727",66.1,130.6,0,2125.77,2921654.8,134233
22260800,3601 CONNECTICUT AV NW,BROADMOOR COOPERATIVE,3,2011,The Broadmoor Cooperative Apartments,3601 Connecticut Avenue NW,200081928,Multifamily Housing,1928,"308,969",33.7,44.4,0,591.6,298597.9,87168.235
22430066,2950 VAN NESS ST NW,SMITH PROPERTY HOLDINGS KENMORE LP,3,2011,2950 Van Ness Street NW,2950 Van Ness Street NW,20008,Multifamily Housing,1900,"222,415",12.3,42.4,0,385.16,794522,240
25350041,1919 CONNECTICUT AV,CJUF II DESTINATION HOTEL LLC,1,2011,Washington Hilton,1919 Connecticut Ave,20009,Hotel,1965,"973,414",128.6,269.9,23,11897.45,17334188,654613.5
25350830,1875 CONNECTICUT AV NW,UNIVERSAL BUILDING NORTH INC,1,2011,1875 Connecticut,1875 Connecticut,20037,Office,1961,"548,132",68.8,171,83,3014.6,5868350,90261.581
25350831,1825 CONNECTICUT AV NW,UNIVERSAL BUILDING INC,1,2011,1825 Connecticut Avenue,1825 Connecticut Av,20009,Office,1957,"449,816",98.1,221.1,65,3183.4,5630937,141398.32
25411133,2031 BELMONT RD NW,VALLEY VISTA CONDOMINIUM,1,2011,The Valley Vista Condominium,2032 Belmont Rd NW,20009,Multifamily Housing,1928,"248,899",29.9,40.5,0,442.13,151189.2,69376
25710104,2400 16TH ST NW,ENVOY ASSOCIATES LTD PTSP,1,2011,The Envoy,2400 16th Street NW,20009,Multifamily Housing,1918,"276,092",20,46.4,0,549.37,846564.9,26379.7
25720815,2480 16TH ST,DORCHESTER HOUSE ASSOCIATES LLC,1,2011,Dorchester House Apartments,2480 16th Street,20009,Multifamily Housing,1941,"439,502",53.9,80.2,0,1599.39,1125023.9,198461.3
25900801,1601 ARGONNE PL NW,COLUMBIA REALTY VENTURE LLC,1,2011,Chalfonte,1601 Argonne Pl NW,20009,Multifamily Housing,1926,"202,589",73.8,109.4,0,1095.93,997255.1,115430.6
26330829,3900 16TH ST NW,CRESTWOOD APARTMENTS ASC,4,2011,Crestwood Apartments,3900 16th Street NW,20011,Multifamily Housing,1955,"263,260",48.8,85.5,0,974.56,964869.6,95557.1
26880043,3500 14TH ST NW,CAVALIER APARTMENTS LP,3,2011,Cavalier Apartments,3500 14th Street NW,20010,Multifamily Housing,1926,"252,792",27.1,56.9,0,623.32,858396,39204
28731101,2251 SHERMAN AV,HOWARD UNIVERSITY,3,2011,Howard Tower Plaza,2251 Sherman Avenue,20059,College/University,1989,"573,687",40,128.7,78,3251.98,6730533.6,
31290801,0111 MICHIGAN AV,WASHINGTON HOSPITAL CENTER,5,2011,Children's National Medical Center,"111 Michigan Ave, N.W.",20010,Office,1970,"1,957,377",187.1,441.8,58,41708.23,59842537.8,
35820802,1501 ECKINGTON PL NE,FEDERAL EXPRESS CORPORATION,5,2011,DCAA,1501 Eckington Place,20002,Office,1990,"210,000",79.4,173.8,50,1534.51,2146320,93510
36300808,0611 EDGEWOOD ST NE,EDGEWOOD IV LP,5,2011,Edgewood IV,"611 Edgewood Street, NE",20017,Multifamily Housing,1973,"383,900",42.5,81.8,0,1420.55,1832766,100566
38210040,0400 MICHIGAN AV NE,NATIONAL SHRINE OF THE IMMACULATE CONCEPTION,5,2011,Basilica of the National Shrine of the Immaculate Conception,400 Michigan Avenue  N.E.,200171566,Office,1959,"226,301",96.5,218.6,2,2105.7,3772892,89595
